ID,game_id,Fixture,Attacking Team,Defending Team,Attacking Team ID,Defending Team ID,Goals Scored,Goals Conceded,Goals Difference,Game State,Side,Early/Lateral/Deep,OPTA Event ID,period_id,min,sec,X Coordinate,Y Coordinate,End X Coordinate,End Y Coordinate,Length Pass,% Distance Along X,Player ID,Player Name,Preferred Foot,Outcome,Keypass/Assist,Blocked Pass,Cutback,OPTA Pull Back Qualifier,Out Of Pitch,Ending Too Wide,Cross Type,Set Piece OPTA Event ID,OPTA Cross Qualifier,Time Between Set Piece and Cross,Number Events Between Set Piece and Cross,Linked 2nd Phase Cross IDs,First Contact Type,First Contact Explanation,First Contact Player ID,First Contact Player Name,First Contact Team ID,First Contact Team Name,First Contact Aerial,Defending Goalkeeper ID,Defending Goalkeeper Name,First Contact Event ID,First Contact Shot,First Contact X Coordinate,First Contact Y Coordinate,Cross After A Penalty Kick,Cross After A Throw-in,Penalty Kick OPTA ID,Throw-in OPTA ID,Time Between Penalty Kick And Cross,Time Between Throw-in And Cross,Time Lapsed From Cross And First Contact
47346,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Right,Early,2174040137,2,54,39,77.1,18.8,90.5,65.3,34.59,13.4,p56979,Jordan Henderson,Right,Successful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,61,Ball touch,p110979,Sadio Mané,t14,,0,p17745,Kasper Schmeichel,2174056091,0,89,62.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47347,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Left,Deep,2174040161,2,54,46,96.7,96.2,94.7,55.4,27.81,-2,p122798,Andrew Robertson,Left,Successful,Keypass,0,0,0,0,0,Open Play,,1,NULL,NULL,,13,Miss,p92217,Roberto Firmino,t14,,0,p17745,Kasper Schmeichel,2174040163,1,95.9,55.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47348,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Right,Early,2174040301,2,56,7,82.8,13.9,90.3,70.9,39.53,7.5,p169187,Trent Alexander-Arnold,Right,Successful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,1,Pass,p122798,Andrew Robertson,t14,,0,p17745,Kasper Schmeichel,2174040309,0,89.1,73.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47349,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Left,Lateral,2174040309,2,56,10,89.1,73.8,91.2,58.1,10.9,2.1,p122798,Andrew Robertson,Left,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Clearance,p111931,Ricardo Pereira,t13,,0,p17745,Kasper Schmeichel,2174040311,0,6.4,40.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47350,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Left,Lateral,2174040315,2,56,13,92.2,76.1,96.6,59.9,11.94,4.4,p122798,Andrew Robertson,Left,Successful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,55,Player Caught Offside,p92217,Roberto Firmino,t14,,NULL,p17745,Kasper Schmeichel,,NULL,96.6,59.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47351,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Right,Lateral,2174040483,2,57,56,90.7,14.6,96.2,50.1,24.81,5.5,p169187,Trent Alexander-Arnold,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,52,Keeper pick-up,p17745,Kasper Schmeichel,t13,,0,p17745,Kasper Schmeichel,2174040485,0,4.9,49.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47352,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Right,Deep,2174040809,2,60,45,99.6,0.5,95.4,44.5,30.23,-4.2,p169187,Trent Alexander-Arnold,Right,Unsuccessful,,0,0,0,0,0,Crossed Corner,2174040809,1,NULL,NULL,,12,Headed Clearance,p172850,Ben Chilwell,t13,,1,p17745,Kasper Schmeichel,2174040811,0,5.4,61.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47353,f1059887,Leicester City v Liverpool,Leicester City,Liverpool,t13,t14,0,1,NULL,losing,Left,Early,2174040917,2,61,59,81.3,80.8,100,39.2,34.41,18.7,p172780,James Maddison,Right,Unsuccessful,,0,0,0,1,0,Crossed Freekick,2174040917,1,NULL,NULL,,5,Out,p172780,James Maddison,t13,,NULL,p116535,Alisson,2174040919,NULL,101.2,41.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47354,f1059887,Leicester City v Liverpool,Leicester City,Liverpool,t13,t14,0,1,NULL,losing,Right,Lateral,2174041045,2,63,8,91.9,9.8,89.8,27.1,11.96,-2.1,p111931,Ricardo Pereira,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Clearance,p97032,Virgil van Dijk,t14,,0,p116535,Alisson,2174041049,0,9.3,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47356,f1059887,Leicester City v Liverpool,Leicester City,Liverpool,t13,t14,0,1,NULL,losing,Right,Lateral,2174041525,2,67,53,88.1,3.2,90.8,59.6,38.44,2.7,p51938,Marc Albrighton,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Headed Clearance,p175592,Naby Keita,t14,,1,p116535,Alisson,2174041527,0,9.1,34.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
